code;name-en;founded;FIFA-affiliation;continental-affiliation;IOC-member;continental-afilitation-name;name-es;name-fr;name-de;name-it;name-nl;name-pt;name-tr
BRU;Brunei Darussalam;1952;1972;1969;Yes;AFC;;;;;;;
CAM;Cambodia;1933;1954;1954;Yes;AFC;;;;;;;
LAO;Laos;1951;1952;1968;Yes;AFC;;;;;;;
INA;Indonesia;1930;1952;1954;Yes;AFC;;;;;;;
MAS;Malaysia;1933;1954;1954;Yes;AFC;;;;;;;
MYA;Myanmar;1947;1948;1954;Yes;AFC;;;;;;;
PHI;Philippines;1907;1930;1954;Yes;AFC;;;;;;;
SGP;Singapore;1892;1952;1954;Yes;AFC;;;;;;;
THA;Thailand;1916;1925;1954;Yes;AFC;;;;;;;
TLS;Timor-Leste;2002;2005;2002;Yes;AFC;;;;;;;
VIE;Vietnam;1960;1952;1954;Yes;AFC;;;;;;;
AFG;Afghanistan;1933;1948;1954;Yes;AFC;;;;;;;
IRN;Iran;1920;1948;1958;Yes;AFC;;;;;;;
KGZ;Kyrgyz Republic;1992;1994;1993;Yes;AFC;;;;;;;
TJK;Tajikistan;1936;1994;1993;Yes;AFC;;;;;;;
TKM;Turkmenistan;1992;1994;1993;Yes;AFC;;;;;;;
UZB;Uzbekistan;1946;1994;1993;Yes;AFC;;;;;;;
CHN;China;1924;1931;1974;Yes;AFC;;;;;;;
TPE;Chinese Taipei;1936;1954;1954;Yes;AFC;;;;;;;
PRK;DPR Korea;1945;1958;1974;Yes;AFC;;;;;;;
GUM;Guam;1975;1996;1991;Yes;AFC;;;;;;;
HKG;Hong Kong;1914;1954;1954;Yes;AFC;;;;;;;
JPN;Japan;1921;1921;1954;Yes;AFC;;;;;;;
KOR;Korea Republic;1928;1948;1954;Yes;AFC;;;;;;;
MAC;Macau;1939;1978;1978;No;AFC;;;;;;;
MNG;Mongolia;1959;1998;1993;Yes;AFC;;;;;;;
NMI;Northern Mariana Islands;2005;N/A;2020;No;AFC;;;;;;;
BAN;Bangladesh;1972;1976;1974;Yes;AFC;;;;;;;
BHU;Bhutan;1983;2000;1993;Yes;AFC;;;;;;;
IND;India;1937;1948;1954;Yes;AFC;;;;;;;
MDV;Maldives;1982;1986;1984;Yes;AFC;;;;;;;
NEP;Nepal;1951;1972;1954;Yes;AFC;;;;;;;
PAK;Pakistan;1947;1948;1954;Yes;AFC;;;;;;;
SRI;Sri Lanka;1939;1952;1954;Yes;AFC;;;;;;;
BHR;Bahrain;1957;1968;1969;Yes;AFC;;;;;;;
IRQ;Iraq;1948;1950;1970;Yes;AFC;;;;;;;
JOR;Jordan;1949;1956;1970;Yes;AFC;;;;;;;
KUW;Kuwait;1952;1964;1964;Yes;AFC;;;;;;;
LBN;Lebanon;1933;1936;1964;Yes;AFC;;;;;;;
OMA;Oman;1978;1980;1980;Yes;AFC;;;;;;;
PLE;Palestine;1928;1998;1998;Yes;AFC;;;;;;;
QAT;Qatar;1960;1972;1974;Yes;AFC;;;;;;;
KSA;Saudi Arabia;1956;1956;1972;Yes;AFC;;;;;;;
SYR;Syria;1936;1937;1970;Yes;AFC;;;;;;;
UAE;United Arab Emirates;1971;1974;1974;Yes;AFC;;;;;;;
YEM;Yemen;1962;1980;1980;Yes;AFC;;;;;;;
ALG;Algeria;1962;1963;1964;Yes;CAF;;;;;;;
EGY;Egypt;1921;1923;1957;Yes;CAF;;;;;;;
LBY;Libya;1962;1964;1965;Yes;CAF;;;;;;;
MAR;Morocco;1955;1960;1959;Yes;CAF;;;;;;;
TUN;Tunisia;1957;1960;1960;Yes;CAF;;;;;;;
BEN;Benin;1962;1962;1962;Yes;CAF;;;;;;;
BFA;Burkina Faso;1960;1964;1964;Yes;CAF;;;;;;;
CPV;Cape Verde;1982;1986;2000;Yes;CAF;;;;;;;
GAM;Gambia;1952;1968;1966;Yes;CAF;;;;;;;
GHA;Ghana;1957;1958;1958;Yes;CAF;;;;;;;
GUI;Guinea;1960;1962;1963;Yes;CAF;;;;;;;
GNB;Guinea-Bissau;1974;1986;1986;Yes;CAF;;;;;;;
CIV;Ivory Coast;1960;1964;1960;Yes;CAF;;;;;;;
LBR;Liberia;1936;1964;1962;Yes;CAF;;;;;;;
MLI;Mali;1960;1963;1963;Yes;CAF;;;;;;;
MTN;Mauritania;1961;1970;1968;Yes;CAF;;;;;;;
NIG;Niger;1962;1967;1967;Yes;CAF;;;;;;;
NGA;Nigeria;1945;1960;1960;Yes;CAF;;;;;;;
SEN;Senegal;1960;1964;1964;Yes;CAF;;;;;;;
SLE;Sierra Leone;1960;1960;1960;Yes;CAF;;;;;;;
TOG;Togo;1960;1962;1964;Yes;CAF;;;;;;;
CMR;Cameroon;1959;1962;1963;Yes;CAF;;;;;;;
CTA;Central African Republic;1961;1964;1965;Yes;CAF;;;;;;;
CHA;Chad;1962;1964;1964;Yes;CAF;;;;;;;
CGO;Congo;1962;1964;1966;Yes;CAF;;;;;;;
COD;DR Congo;1919;1964;1964;Yes;CAF;;;;;;;
EQG;Equatorial Guinea;1957;1986;1986;Yes;CAF;;;;;;;
GAB;Gabon;1962;1966;1967;Yes;CAF;;;;;;;
STP;São Tomé and Príncipe;1975;1986;1986;Yes;CAF;;;;;;;
BDI;Burundi;1948;1972;1972;Yes;CAF;;;;;;;
DJI;Djibouti;1979;1994;1994;Yes;CAF;;;;;;;
ERI;Eritrea;1996;1998;1998;Yes;CAF;;;;;;;
ETH;Ethiopia;1943;1952;1957;Yes;CAF;;;;;;;
KEN;Kenya;1960;1960;1968;Yes;CAF;;;;;;;
RWA;Rwanda;1972;1978;1978;Yes;CAF;;;;;;;
SOM;Somalia;1951;1962;1968;Yes;CAF;;;;;;;
SSD;South Sudan;2011;2012;2012;Yes;CAF;;;;;;;
SDN;Sudan;1936;1948;1957;Yes;CAF;;;;;;;
TAN;Tanzania;1930;1964;1964;Yes;CAF;;;;;;;
UGA;Uganda;1924;1960;1960;Yes;CAF;;;;;;;
ZAN;Zanzibar;1965;N/A;1980;No;CAF;;;;;;;
ANG;Angola;1979;1980;1980;Yes;CAF;;;;;;;
BOT;Botswana;1970;1978;1976;Yes;CAF;;;;;;;
COM;Comoros;1979;2005;2005;Yes;CAF;;;;;;;
SWZ;Eswatini;1968;1978;1978;Yes;CAF;;;;;;;
LES;Lesotho;1932;1964;1964;Yes;CAF;;;;;;;
MAD;Madagascar;1961;1964;1963;Yes;CAF;;;;;;;
MWI;Malawi;1966;1968;1968;Yes;CAF;;;;;;;
MRI;Mauritius;1952;1964;1963;Yes;CAF;;;;;;;
MOZ; Mozambique;1976;1980;1980;Yes;CAF;;;;;;;
NAM;Namibia;1990;1992;1992;Yes;CAF;;;;;;;
